asset,name,price,date
MC.PA,LVMH,50,2024-07-15
TTE,Total Energie,50,2024-07-15
MDT,Medtronic,50,2024-07-15
CRM,SalesForce,100,2024-07-15
CLSK,CleanSpark,50,2024-07-15
COIN,CoinBase,50,2024-07-15
NVDA,Nvidia,50,2024-07-15
PYPL,Paypal,50,2024-07-15
SNY,Sanofi,50,2024-07-15
